"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $20,000 to $34,999","222,346","19.1%","175,110","21.9%","47,236","12.9%","N","N","N","N","N","N","12,846","19.4%","10,182","22.3%","2,664","12.9%","9,835","20.7%","7,370","23.1%","2,465","15.7%","12,681","21.5%","9,448","23.8%","3,233","16.8%","5,134","15.6%","3,904","16.0%","1,230","14.5%","4,101","14.9%","2,524","18.4%","1,577","11.5%","8,930","17.9%","6,464","18.1%","2,466","17.3%","21,731","16.0%","12,174","17.4%","9,557","14.5%","N","N","N","N","N","N","5,326","18.8%","3,963","19.2%","1,363","17.8%","N","N","N","N","N","N"
"            Less than 20 percent","121,677","10.4%","110,074","13.7%","11,603","3.2%","N","N","N","N","N","N","5,792","8.7%","5,579","12.2%","213","1.0%","4,234","8.9%","3,895","12.2%","339","2.2%","4,860","8.2%","4,383","11.0%","477","2.5%","3,074","9.4%","2,882","11.8%","192","2.3%","2,040","7.4%","1,608","11.7%","432","3.1%","4,861","9.7%","4,494","12.6%","367","2.6%","8,797","6.5%","6,365","9.1%","2,432","3.7%","N","N","N","N","N","N","2,343","8.3%","2,199","10.7%","144","1.9%","N","N","N","N","N","N"
"            20 to 29 percent","43,636","3.7%","25,003","3.1%","18,633","5.1%","N","N","N","N","N","N","2,390","3.6%","1,819","4.0%","571","2.8%","1,795","3.8%","1,040","3.3%","755","4.8%","2,784","4.7%","1,439","3.6%","1,345","7.0%","665","2.0%","150","0.6%","515","6.1%","1,039","3.8%","635","4.6%","404","2.9%","1,432","2.9%","496","1.4%","936","6.6%","4,861","3.6%","1,546","2.2%","3,315","5.0%","N","N","N","N","N","N","885","3.1%","447","2.2%","438","5.7%","N","N","N","N","N","N"
"            30 percent or more","57,033","4.9%","40,033","5.0%","17,000","4.7%","N","N","N","N","N","N","4,664","7.0%","2,784","6.1%","1,880","9.1%","3,806","8.0%","2,435","7.6%","1,371","8.7%","5,037","8.5%","3,626","9.1%","1,411","7.3%","1,395","4.2%","872","3.6%","523","6.2%","1,022","3.7%","281","2.0%","741","5.4%","2,637","5.3%","1,474","4.1%","1,163","8.2%","8,073","5.9%","4,263","6.1%","3,810","5.8%","N","N","N","N","N","N","2,098","7.4%","1,317","6.4%","781","10.2%","N","N","N","N","N","N"
"        $35,000 to $49,999","130,602","11.2%","110,112","13.8%","20,490","5.6%","N","N","N","N","N","N","8,901","13.4%","7,442","16.3%","1,459","7.0%","6,193","13.0%","5,259","16.5%","934","5.9%","7,480","12.7%","5,426","13.7%","2,054","10.7%","3,205","9.8%","2,742","11.3%","463","5.5%","1,714","6.2%","1,216","8.9%","498","3.6%","5,148","10.3%","4,806","13.4%","342","2.4%","12,404","9.1%","8,766","12.5%","3,638","5.5%","N","N","N","N","N","N","4,306","15.2%","3,468","16.8%","838","10.9%","N","N","N","N","N","N"
"            Less than 20 percent","84,126","7.2%","73,756","9.2%","10,370","2.8%","N","N","N","N","N","N","4,917","7.4%","4,142","9.1%","775","3.7%","2,750","5.8%","2,602","8.2%","148","0.9%","4,003","6.8%","2,862","7.2%","1,141","5.9%","1,726","5.3%","1,521","6.2%","205","2.4%","1,328","4.8%","952","6.9%","376","2.7%","3,811","7.6%","3,574","10.0%","237","1.7%","5,832","4.3%","5,026","7.2%","806","1.2%","N","N","N","N","N","N","2,465","8.7%","2,219","10.8%","246","3.2%","N","N","N","N","N","N"
"            20 to 29 percent","33,224","2.8%","25,288","3.2%","7,936","2.2%","N","N","N","N","N","N","2,662","4.0%","2,029","4.4%","633","3.1%","2,772","5.8%","1,986","6.2%","786","5.0%","1,567","2.7%","997","2.5%","570","3.0%","774","2.4%","558","2.3%","216","2.5%","386","1.4%","264","1.9%","122","0.9%","1,016","2.0%","945","2.6%","71","0.5%","4,435","3.3%","2,326","3.3%","2,109","3.2%","N","N","N","N","N","N","1,414","5.0%","955","4.6%","459","6.0%","N","N","N","N","N","N"
"            30 percent or more","13,252","1.1%","11,068","1.4%","2,184","0.6%","N","N","N","N","N","N","1,322","2.0%","1,271","2.8%","51","0.2%","671","1.4%","671","2.1%","0","0.0%","1,910","3.2%","1,567","3.9%","343","1.8%","705","2.1%","663","2.7%","42","0.5%","0","0.0%","0","0.0%","0","0.0%","321","0.6%","287","0.8%","34","0.2%","2,137","1.6%","1,414","2.0%","723","1.1%","N","N","N","N","N","N","427","1.5%","294","1.4%","133","1.7%","N","N","N","N","N","N"
"        $50,000 to $74,999","117,665","10.1%","102,083","12.8%","15,582","4.3%","N","N","N","N","N","N","8,337","12.6%","6,787","14.9%","1,550","7.5%","4,787","10.1%","4,219","13.2%","568","3.6%","8,895","15.1%","7,795","19.6%","1,100","5.7%","5,306","16.2%","4,268","17.5%","1,038","12.2%","1,240","4.5%","1,166","8.5%","74","0.5%","4,908","9.8%","4,481","12.5%","427","3.0%","13,562","10.0%","10,284","14.7%","3,278","5.0%","N","N","N","N","N","N","3,872","13.7%","3,636","17.6%","236","3.1%","N","N","N","N","N","N"
"            Less than 20 percent","91,002","7.8%","79,051","9.9%","11,951","3.3%","N","N","N","N","N","N","6,140","9.2%","5,322","11.7%","818","3.9%","3,574","7.5%","3,088","9.7%","486","3.1%","5,910","10.0%","5,076","12.8%","834","4.3%","3,101","9.4%","2,759","11.3%","342","4.0%","1,015","3.7%","941","6.9%","74","0.5%","4,278","8.6%","3,851","10.8%","427","3.0%","8,625","6.3%","6,216","8.9%","2,409","3.7%","N","N","N","N","N","N","3,150","11.1%","2,914","14.1%","236","3.1%","N","N","N","N","N","N"
"            20 to 29 percent","20,472","1.8%","17,721","2.2%","2,751","0.8%","N","N","N","N","N","N","1,857","2.8%","1,202","2.6%","655","3.2%","1,073","2.3%","991","3.1%","82","0.5%","2,066","3.5%","1,800","4.5%","266","1.4%","1,036","3.2%","871","3.6%","165","1.9%","225","0.8%","225","1.6%","0","0.0%","463","0.9%","463","1.3%","0","0.0%","3,966","2.9%","3,165","4.5%","801","1.2%","N","N","N","N","N","N","503","1.8%","503","2.4%","0","0.0%","N","N","N","N","N","N"
"            30 percent or more","6,191","0.5%","5,311","0.7%","880","0.2%","N","N","N","N","N","N","340","0.5%","263","0.6%","77","0.4%","140","0.3%","140","0.4%","0","0.0%","919","1.6%","919","2.3%","0","0.0%","1,169","3.6%","638","2.6%","531","6.3%","0","0.0%","0","0.0%","0","0.0%","167","0.3%","167","0.5%","0","0.0%","971","0.7%","903","1.3%","68","0.1%","N","N","N","N","N","N","219","0.8%","219","1.1%","0","0.0%","N","N","N","N","N","N"
"        $75,000 or more","116,487","10.0%","105,692","13.2%","10,795","3.0%","N","N","N","N","N","N","7,312","11.0%","6,643","14.5%","669","3.2%","6,155","12.9%","5,712","17.9%","443","2.8%","8,305","14.1%","6,644","16.7%","1,661","8.6%","9,458","28.8%","8,254","33.9%","1,204","14.2%","1,660","6.0%","1,582","11.5%","78","0.6%","4,076","8.2%","3,852","10.8%","224","1.6%","21,410","15.8%","18,429","26.3%","2,981","4.5%","N","N","N","N","N","N","3,072","10.9%","2,780","13.5%","292","3.8%","N","N","N","N","N","N"
"            Less than 20 percent","103,416","8.9%","93,860","11.7%","9,556","2.6%","N","N","N","N","N","N","6,665","10.0%","5,996","13.1%","669","3.2%","4,774","10.0%","4,331","13.6%","443","2.8%","7,619","12.9%","6,140","15.5%","1,479","7.7%","7,108","21.7%","6,385","26.2%","723","8.5%","1,446","5.3%","1,446","10.5%","0","0.0%","3,712","7.4%","3,488","9.8%","224","1.6%","18,709","13.8%","15,805","22.6%","2,904","4.4%","N","N","N","N","N","N","2,573","9.1%","2,375","11.5%","198","2.6%","N","N","N","N","N","N"
"            20 to 29 percent","11,388","1.0%","10,270","1.3%","1,118","0.3%","N","N","N","N","N","N","307","0.5%","307","0.7%","0","0.0%","1,381","2.9%","1,381","4.3%","0","0.0%","576","1.0%","394","1.0%","182","0.9%","1,955","6.0%","1,518","6.2%","437","5.2%","214","0.8%","136","1.0%","78","0.6%","295","0.6%","295","0.8%","0","0.0%","2,110","1.6%","2,110","3.0%","0","0.0%","N","N","N","N","N","N","499","1.8%","405","2.0%","94","1.2%","N","N","N","N","N","N"
"            30 percent or more","1,683","0.1%","1,562","0.2%","121","0.0%","N","N","N","N","N","N","340","0.5%","340","0.7%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","110","0.2%","110","0.3%","0","0.0%","395","1.2%","351","1.4%","44","0.5%","0","0.0%","0","0.0%","0","0.0%","69","0.1%","69","0.2%","0","0.0%","591","0.4%","514","0.7%","77","0.1%","N","N","N","N","N","N","0","0.0%","0","0.0%","0","0.0%","N","N","N","N","N","N"
"        Zero or negative income","51,596","4.4%","27,143","3.4%","24,453","6.7%","N","N","N","N","N","N","4,186","6.3%","1,470","3.2%","2,716","13.1%","1,452","3.1%","1,148","3.6%","304","1.9%","2,103","3.6%","742","1.9%","1,361","7.1%","834","2.5%","668","2.7%","166","2.0%","1,538","5.6%","277","2.0%","1,261","9.2%","4,838","9.7%","2,942","8.2%","1,896","13.3%","10,479","7.7%","1,876","2.7%","8,603","13.1%","N","N","N","N","N","N","563","2.0%","448","2.2%","115","1.5%","N","N","N","N","N","N"
"        No cash rent","135,084","11.6%","(X)","(X)","135,084","37.0%","N","N","(X)","(X)","N","N","4,265","6.4%","(X)","(X)","4,265","20.6%","5,863","12.3%","(X)","(X)","5,863","37.3%","4,384","7.4%","(X)","(X)","4,384","22.8%","2,843","8.7%","(X)","(X)","2,843","33.5%","4,391","16.0%","(X)","(X)","4,391","32.0%","3,618","7.2%","(X)","(X)","3,618","25.4%","13,449","9.9%","(X)","(X)","13,449","20.4%","N","N","(X)","(X)","N","N","3,551","12.6%","(X)","(X)","3,551","46.3%","N","N","(X)","(X)","N","N"
