"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $20,000 to $34,999","231,235","18.6%","181,941","21.1%","49,294","12.9%","N","N","N","N","N","N","12,444","16.8%","10,063","18.9%","2,381","11.5%","7,147","16.4%","5,480","18.6%","1,667","11.8%","10,626","17.1%","8,272","20.5%","2,354","10.8%","6,150","17.3%","5,023","18.1%","1,127","14.6%","4,071","14.8%","2,696","20.4%","1,375","9.7%","10,973","19.4%","9,119","24.2%","1,854","9.9%","26,621","18.2%","15,444","19.3%","11,177","16.9%","4,081","17.2%","3,402","18.0%","679","14.0%","4,267","14.9%","3,544","19.2%","723","7.1%","N","N","N","N","N","N"
"            Less than 20 percent","135,145","10.9%","123,816","14.4%","11,329","3.0%","N","N","N","N","N","N","6,241","8.4%","5,947","11.1%","294","1.4%","3,782","8.7%","3,630","12.3%","152","1.1%","5,463","8.8%","5,292","13.1%","171","0.8%","3,358","9.5%","3,250","11.7%","108","1.4%","2,802","10.2%","2,162","16.3%","640","4.5%","6,942","12.3%","6,559","17.4%","383","2.0%","12,043","8.2%","9,083","11.4%","2,960","4.5%","2,110","8.9%","2,014","10.6%","96","2.0%","2,642","9.2%","2,386","12.9%","256","2.5%","N","N","N","N","N","N"
"            20 to 29 percent","38,444","3.1%","21,839","2.5%","16,605","4.4%","N","N","N","N","N","N","1,724","2.3%","1,368","2.6%","356","1.7%","1,049","2.4%","409","1.4%","640","4.5%","1,780","2.9%","964","2.4%","816","3.7%","504","1.4%","403","1.4%","101","1.3%","742","2.7%","203","1.5%","539","3.8%","1,937","3.4%","1,112","3.0%","825","4.4%","5,534","3.8%","1,955","2.4%","3,579","5.4%","766","3.2%","502","2.7%","264","5.5%","555","1.9%","470","2.5%","85","0.8%","N","N","N","N","N","N"
"            30 percent or more","57,646","4.6%","36,286","4.2%","21,360","5.6%","N","N","N","N","N","N","4,479","6.1%","2,748","5.2%","1,731","8.4%","2,316","5.3%","1,441","4.9%","875","6.2%","3,383","5.4%","2,016","5.0%","1,367","6.3%","2,288","6.4%","1,370","4.9%","918","11.9%","527","1.9%","331","2.5%","196","1.4%","2,094","3.7%","1,448","3.8%","646","3.4%","9,044","6.2%","4,406","5.5%","4,638","7.0%","1,205","5.1%","886","4.7%","319","6.6%","1,070","3.7%","688","3.7%","382","3.7%","N","N","N","N","N","N"
"        $35,000 to $49,999","153,261","12.3%","125,022","14.5%","28,239","7.4%","N","N","N","N","N","N","10,644","14.4%","9,044","17.0%","1,600","7.7%","5,117","11.8%","4,785","16.3%","332","2.4%","6,710","10.8%","4,446","11.0%","2,264","10.4%","3,755","10.6%","2,808","10.1%","947","12.3%","2,721","9.9%","1,860","14.1%","861","6.1%","6,196","11.0%","5,445","14.5%","751","4.0%","17,052","11.7%","12,468","15.6%","4,584","6.9%","3,190","13.4%","2,572","13.6%","618","12.8%","3,598","12.5%","2,396","13.0%","1,202","11.7%","N","N","N","N","N","N"
"            Less than 20 percent","102,979","8.3%","88,771","10.3%","14,208","3.7%","N","N","N","N","N","N","6,174","8.3%","5,312","10.0%","862","4.2%","3,867","8.9%","3,867","13.2%","0","0.0%","3,073","4.9%","2,519","6.2%","554","2.5%","2,073","5.8%","1,534","5.5%","539","7.0%","2,436","8.9%","1,627","12.3%","809","5.7%","4,568","8.1%","4,365","11.6%","203","1.1%","8,768","6.0%","6,920","8.7%","1,848","2.8%","1,821","7.7%","1,580","8.3%","241","5.0%","2,054","7.2%","1,465","7.9%","589","5.8%","N","N","N","N","N","N"
"            20 to 29 percent","33,333","2.7%","23,352","2.7%","9,981","2.6%","N","N","N","N","N","N","2,673","3.6%","2,081","3.9%","592","2.9%","1,122","2.6%","790","2.7%","332","2.4%","2,451","3.9%","1,017","2.5%","1,434","6.6%","679","1.9%","562","2.0%","117","1.5%","172","0.6%","120","0.9%","52","0.4%","1,216","2.2%","872","2.3%","344","1.8%","5,007","3.4%","3,065","3.8%","1,942","2.9%","936","3.9%","676","3.6%","260","5.4%","995","3.5%","382","2.1%","613","6.0%","N","N","N","N","N","N"
"            30 percent or more","16,949","1.4%","12,899","1.5%","4,050","1.1%","N","N","N","N","N","N","1,797","2.4%","1,651","3.1%","146","0.7%","128","0.3%","128","0.4%","0","0.0%","1,186","1.9%","910","2.3%","276","1.3%","1,003","2.8%","712","2.6%","291","3.8%","113","0.4%","113","0.9%","0","0.0%","412","0.7%","208","0.6%","204","1.1%","3,277","2.2%","2,483","3.1%","794","1.2%","433","1.8%","316","1.7%","117","2.4%","549","1.9%","549","3.0%","0","0.0%","N","N","N","N","N","N"
"        $50,000 to $74,999","146,378","11.8%","122,646","14.2%","23,732","6.2%","N","N","N","N","N","N","9,512","12.8%","7,877","14.8%","1,635","7.9%","5,917","13.6%","4,801","16.3%","1,116","7.9%","9,804","15.8%","7,617","18.9%","2,187","10.0%","4,109","11.6%","3,545","12.7%","564","7.3%","1,860","6.8%","1,680","12.7%","180","1.3%","6,380","11.3%","5,315","14.1%","1,065","5.7%","16,970","11.6%","12,027","15.0%","4,943","7.5%","3,046","12.8%","2,636","13.9%","410","8.5%","4,300","15.0%","3,133","17.0%","1,167","11.4%","N","N","N","N","N","N"
"            Less than 20 percent","114,869","9.2%","98,264","11.4%","16,605","4.4%","N","N","N","N","N","N","6,935","9.4%","5,867","11.0%","1,068","5.2%","4,011","9.2%","3,341","11.4%","670","4.8%","6,329","10.2%","5,570","13.8%","759","3.5%","1,961","5.5%","1,875","6.7%","86","1.1%","1,646","6.0%","1,544","11.7%","102","0.7%","5,799","10.3%","4,884","13.0%","915","4.9%","11,205","7.7%","8,811","11.0%","2,394","3.6%","2,401","10.1%","1,991","10.5%","410","8.5%","3,354","11.7%","2,187","11.9%","1,167","11.4%","N","N","N","N","N","N"
"            20 to 29 percent","23,044","1.9%","17,089","2.0%","5,955","1.6%","N","N","N","N","N","N","2,137","2.9%","1,570","2.9%","567","2.7%","1,519","3.5%","1,073","3.6%","446","3.2%","2,664","4.3%","1,622","4.0%","1,042","4.8%","1,267","3.6%","789","2.8%","478","6.2%","183","0.7%","105","0.8%","78","0.5%","336","0.6%","238","0.6%","98","0.5%","4,004","2.7%","1,996","2.5%","2,008","3.0%","458","1.9%","458","2.4%","0","0.0%","946","3.3%","946","5.1%","0","0.0%","N","N","N","N","N","N"
"            30 percent or more","8,465","0.7%","7,293","0.8%","1,172","0.3%","N","N","N","N","N","N","440","0.6%","440","0.8%","0","0.0%","387","0.9%","387","1.3%","0","0.0%","811","1.3%","425","1.1%","386","1.8%","881","2.5%","881","3.2%","0","0.0%","31","0.1%","31","0.2%","0","0.0%","245","0.4%","193","0.5%","52","0.3%","1,761","1.2%","1,220","1.5%","541","0.8%","187","0.8%","187","1.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","N","N","N","N","N","N"
"        $75,000 or more","176,575","14.2%","153,889","17.9%","22,686","5.9%","N","N","N","N","N","N","12,776","17.3%","10,670","20.0%","2,106","10.2%","8,854","20.4%","7,520","25.6%","1,334","9.5%","13,042","21.0%","11,437","28.4%","1,605","7.3%","12,491","35.2%","11,206","40.3%","1,285","16.7%","2,041","7.4%","1,791","13.5%","250","1.8%","5,187","9.2%","4,620","12.3%","567","3.0%","28,866","19.7%","23,577","29.5%","5,289","8.0%","6,534","27.5%","5,829","30.8%","705","14.6%","5,474","19.1%","3,807","20.6%","1,667","16.3%","N","N","N","N","N","N"
"            Less than 20 percent","156,819","12.6%","137,899","16.0%","18,920","5.0%","N","N","N","N","N","N","11,868","16.0%","9,932","18.6%","1,936","9.4%","7,133","16.4%","5,799","19.7%","1,334","9.5%","10,442","16.8%","9,221","22.9%","1,221","5.6%","10,740","30.3%","9,701","34.9%","1,039","13.5%","1,666","6.1%","1,416","10.7%","250","1.8%","4,752","8.4%","4,185","11.1%","567","3.0%","24,121","16.5%","20,214","25.3%","3,907","5.9%","5,329","22.4%","4,937","26.1%","392","8.1%","5,216","18.2%","3,549","19.2%","1,667","16.3%","N","N","N","N","N","N"
"            20 to 29 percent","15,911","1.3%","12,749","1.5%","3,162","0.8%","N","N","N","N","N","N","577","0.8%","454","0.9%","123","0.6%","1,622","3.7%","1,622","5.5%","0","0.0%","2,188","3.5%","1,876","4.7%","312","1.4%","1,457","4.1%","1,303","4.7%","154","2.0%","337","1.2%","337","2.5%","0","0.0%","325","0.6%","325","0.9%","0","0.0%","3,001","2.1%","1,873","2.3%","1,128","1.7%","1,098","4.6%","785","4.1%","313","6.5%","219","0.8%","219","1.2%","0","0.0%","N","N","N","N","N","N"
"            30 percent or more","3,845","0.3%","3,241","0.4%","604","0.2%","N","N","N","N","N","N","331","0.4%","284","0.5%","47","0.2%","99","0.2%","99","0.3%","0","0.0%","412","0.7%","340","0.8%","72","0.3%","294","0.8%","202","0.7%","92","1.2%","38","0.1%","38","0.3%","0","0.0%","110","0.2%","110","0.3%","0","0.0%","1,744","1.2%","1,490","1.9%","254","0.4%","107","0.4%","107","0.6%","0","0.0%","39","0.1%","39","0.2%","0","0.0%","N","N","N","N","N","N"
"        Zero or negative income","45,288","3.6%","26,766","3.1%","18,522","4.9%","N","N","N","N","N","N","2,946","4.0%","806","1.5%","2,140","10.3%","1,138","2.6%","554","1.9%","584","4.1%","1,454","2.3%","937","2.3%","517","2.4%","944","2.7%","718","2.6%","226","2.9%","2,015","7.3%","509","3.8%","1,506","10.6%","2,171","3.8%","1,326","3.5%","845","4.5%","8,388","5.7%","1,717","2.1%","6,671","10.1%","1,037","4.4%","619","3.3%","418","8.6%","597","2.1%","494","2.7%","103","1.0%","N","N","N","N","N","N"
"        No cash rent","140,441","11.3%","(X)","(X)","140,441","36.8%","N","N","(X)","(X)","N","N","6,008","8.1%","(X)","(X)","6,008","29.1%","5,953","13.7%","(X)","(X)","5,953","42.3%","7,236","11.6%","(X)","(X)","7,236","33.1%","2,080","5.9%","(X)","(X)","2,080","27.0%","4,422","16.1%","(X)","(X)","4,422","31.1%","7,134","12.6%","(X)","(X)","7,134","37.9%","12,344","8.4%","(X)","(X)","12,344","18.6%","757","3.2%","(X)","(X)","757","15.6%","2,571","9.0%","(X)","(X)","2,571","25.1%","N","N","(X)","(X)","N","N"
