"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $20,000 to $34,999","242,535","19.0%","184,901","21.2%","57,634","14.3%","N","N","N","N","N","N","14,445","19.0%","10,622","19.8%","3,823","16.9%","10,180","19.7%","6,888","19.6%","3,292","20.1%","13,579","21.4%","9,995","21.7%","3,584","20.5%","3,978","11.6%","3,244","13.9%","734","6.8%","5,772","18.6%","4,073","28.7%","1,699","10.0%","9,161","16.1%","6,527","18.7%","2,634","12.1%","24,797","16.4%","15,127","18.5%","9,670","14.0%","4,336","17.7%","3,457","17.1%","879","20.6%","5,973","19.7%","4,391","20.2%","1,582","18.5%","3,724","13.6%","2,493","12.0%","1,231","19.0%"
"            Less than 20 percent","126,400","9.9%","115,797","13.3%","10,603","2.6%","N","N","N","N","N","N","5,748","7.5%","5,064","9.5%","684","3.0%","4,301","8.3%","4,092","11.6%","209","1.3%","5,111","8.1%","5,003","10.9%","108","0.6%","1,698","5.0%","1,586","6.8%","112","1.0%","3,620","11.6%","3,241","22.9%","379","2.2%","4,305","7.6%","4,053","11.6%","252","1.2%","8,892","5.9%","7,416","9.1%","1,476","2.1%","1,730","7.1%","1,630","8.1%","100","2.3%","3,149","10.4%","2,977","13.7%","172","2.0%","1,087","4.0%","964","4.6%","123","1.9%"
"            20 to 29 percent","48,976","3.8%","24,421","2.8%","24,555","6.1%","N","N","N","N","N","N","2,702","3.5%","1,800","3.4%","902","4.0%","2,370","4.6%","1,533","4.4%","837","5.1%","1,894","3.0%","1,139","2.5%","755","4.3%","713","2.1%","661","2.8%","52","0.5%","919","3.0%","253","1.8%","666","3.9%","2,667","4.7%","1,366","3.9%","1,301","6.0%","5,626","3.7%","2,095","2.6%","3,531","5.1%","865","3.5%","614","3.0%","251","5.9%","1,756","5.8%","504","2.3%","1,252","14.6%","987","3.6%","336","1.6%","651","10.1%"
"            30 percent or more","67,159","5.3%","44,683","5.1%","22,476","5.6%","N","N","N","N","N","N","5,995","7.9%","3,758","7.0%","2,237","9.9%","3,509","6.8%","1,263","3.6%","2,246","13.7%","6,574","10.4%","3,853","8.4%","2,721","15.6%","1,567","4.6%","997","4.3%","570","5.3%","1,233","4.0%","579","4.1%","654","3.9%","2,189","3.9%","1,108","3.2%","1,081","5.0%","10,279","6.8%","5,616","6.9%","4,663","6.7%","1,741","7.1%","1,213","6.0%","528","12.4%","1,068","3.5%","910","4.2%","158","1.8%","1,650","6.0%","1,193","5.7%","457","7.1%"
"        $35,000 to $49,999","149,535","11.7%","122,357","14.0%","27,178","6.7%","N","N","N","N","N","N","10,536","13.8%","8,461","15.8%","2,075","9.2%","7,323","14.2%","5,732","16.3%","1,591","9.7%","8,693","13.7%","7,984","17.4%","709","4.1%","4,087","12.0%","3,022","12.9%","1,065","9.8%","2,232","7.2%","1,430","10.1%","802","4.7%","6,272","11.0%","4,765","13.6%","1,507","6.9%","16,113","10.7%","11,355","13.9%","4,758","6.9%","3,092","12.6%","2,978","14.7%","114","2.7%","4,310","14.2%","3,845","17.7%","465","5.4%","2,944","10.8%","2,861","13.7%","83","1.3%"
"            Less than 20 percent","91,171","7.1%","78,114","8.9%","13,057","3.2%","N","N","N","N","N","N","5,118","6.7%","4,421","8.3%","697","3.1%","4,648","9.0%","3,961","11.3%","687","4.2%","4,924","7.8%","4,842","10.5%","82","0.5%","1,687","4.9%","1,403","6.0%","284","2.6%","1,780","5.7%","1,280","9.0%","500","3.0%","3,849","6.8%","3,132","9.0%","717","3.3%","8,224","5.4%","6,158","7.5%","2,066","3.0%","1,482","6.1%","1,368","6.8%","114","2.7%","2,144","7.1%","2,097","9.6%","47","0.5%","1,801","6.6%","1,718","8.2%","83","1.3%"
"            20 to 29 percent","38,288","3.0%","28,205","3.2%","10,083","2.5%","N","N","N","N","N","N","3,400","4.5%","2,407","4.5%","993","4.4%","969","1.9%","665","1.9%","304","1.9%","2,319","3.7%","2,078","4.5%","241","1.4%","1,255","3.7%","707","3.0%","548","5.1%","319","1.0%","87","0.6%","232","1.4%","1,735","3.1%","1,076","3.1%","659","3.0%","4,581","3.0%","2,552","3.1%","2,029","2.9%","1,195","4.9%","1,195","5.9%","0","0.0%","1,554","5.1%","1,335","6.1%","219","2.6%","602","2.2%","602","2.9%","0","0.0%"
"            30 percent or more","20,076","1.6%","16,038","1.8%","4,038","1.0%","N","N","N","N","N","N","2,018","2.6%","1,633","3.0%","385","1.7%","1,706","3.3%","1,106","3.1%","600","3.7%","1,450","2.3%","1,064","2.3%","386","2.2%","1,145","3.3%","912","3.9%","233","2.1%","133","0.4%","63","0.4%","70","0.4%","688","1.2%","557","1.6%","131","0.6%","3,308","2.2%","2,645","3.2%","663","1.0%","415","1.7%","415","2.1%","0","0.0%","612","2.0%","413","1.9%","199","2.3%","541","2.0%","541","2.6%","0","0.0%"
"        $50,000 to $74,999","149,702","11.7%","127,237","14.6%","22,465","5.6%","N","N","N","N","N","N","9,802","12.9%","8,778","16.4%","1,024","4.5%","5,948","11.5%","5,077","14.4%","871","5.3%","11,495","18.1%","9,507","20.7%","1,988","11.4%","4,151","12.1%","3,272","14.0%","879","8.1%","1,968","6.3%","1,771","12.5%","197","1.2%","5,403","9.5%","4,754","13.6%","649","3.0%","18,841","12.5%","13,180","16.1%","5,661","8.2%","3,946","16.1%","3,746","18.5%","200","4.7%","5,481","18.1%","4,490","20.7%","991","11.6%","5,605","20.5%","4,165","20.0%","1,440","22.2%"
"            Less than 20 percent","113,526","8.9%","97,349","11.1%","16,177","4.0%","N","N","N","N","N","N","7,447","9.8%","6,742","12.6%","705","3.1%","4,459","8.6%","3,588","10.2%","871","5.3%","6,840","10.8%","5,672","12.3%","1,168","6.7%","1,966","5.8%","1,751","7.5%","215","2.0%","1,652","5.3%","1,455","10.3%","197","1.2%","4,436","7.8%","4,008","11.5%","428","2.0%","12,471","8.3%","8,421","10.3%","4,050","5.9%","2,396","9.8%","2,196","10.9%","200","4.7%","4,211","13.9%","3,531","16.2%","680","7.9%","3,408","12.5%","3,071","14.7%","337","5.2%"
"            20 to 29 percent","27,809","2.2%","23,297","2.7%","4,512","1.1%","N","N","N","N","N","N","2,041","2.7%","1,722","3.2%","319","1.4%","885","1.7%","885","2.5%","0","0.0%","4,270","6.7%","3,553","7.7%","717","4.1%","1,364","4.0%","1,171","5.0%","193","1.8%","180","0.6%","180","1.3%","0","0.0%","754","1.3%","573","1.6%","181","0.8%","3,695","2.4%","2,950","3.6%","745","1.1%","1,058","4.3%","1,058","5.2%","0","0.0%","1,035","3.4%","724","3.3%","311","3.6%","2,197","8.0%","1,094","5.3%","1,103","17.0%"
"            30 percent or more","8,367","0.7%","6,591","0.8%","1,776","0.4%","N","N","N","N","N","N","314","0.4%","314","0.6%","0","0.0%","604","1.2%","604","1.7%","0","0.0%","385","0.6%","282","0.6%","103","0.6%","821","2.4%","350","1.5%","471","4.3%","136","0.4%","136","1.0%","0","0.0%","213","0.4%","173","0.5%","40","0.2%","2,675","1.8%","1,809","2.2%","866","1.3%","492","2.0%","492","2.4%","0","0.0%","235","0.8%","235","1.1%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"        $75,000 or more","167,842","13.1%","151,673","17.4%","16,169","4.0%","N","N","N","N","N","N","12,416","16.3%","11,041","20.6%","1,375","6.1%","9,004","17.5%","8,745","24.8%","259","1.6%","11,045","17.4%","10,198","22.2%","847","4.9%","11,873","34.7%","9,832","42.1%","2,041","18.8%","2,570","8.3%","2,381","16.8%","189","1.1%","5,221","9.2%","4,831","13.8%","390","1.8%","27,460","18.2%","22,799","27.9%","4,661","6.7%","4,302","17.6%","4,302","21.3%","0","0.0%","4,276","14.1%","3,956","18.2%","320","3.7%","7,457","27.3%","7,318","35.1%","139","2.1%"
"            Less than 20 percent","149,244","11.7%","135,504","15.5%","13,740","3.4%","N","N","N","N","N","N","11,173","14.7%","10,109","18.9%","1,064","4.7%","7,907","15.3%","7,648","21.7%","259","1.6%","9,904","15.6%","9,057","19.7%","847","4.9%","8,730","25.5%","7,420","31.8%","1,310","12.1%","2,250","7.2%","2,061","14.5%","189","1.1%","4,598","8.1%","4,507","12.9%","91","0.4%","23,199","15.4%","19,089","23.3%","4,110","5.9%","3,662","15.0%","3,662","18.1%","0","0.0%","4,111","13.6%","3,791","17.4%","320","3.7%","6,871","25.2%","6,732","32.3%","139","2.1%"
"            20 to 29 percent","13,739","1.1%","12,063","1.4%","1,676","0.4%","N","N","N","N","N","N","1,140","1.5%","829","1.5%","311","1.4%","885","1.7%","885","2.5%","0","0.0%","959","1.5%","959","2.1%","0","0.0%","2,265","6.6%","1,629","7.0%","636","5.9%","320","1.0%","320","2.3%","0","0.0%","461","0.8%","324","0.9%","137","0.6%","2,614","1.7%","2,270","2.8%","344","0.5%","601","2.5%","601","3.0%","0","0.0%","165","0.5%","165","0.8%","0","0.0%","498","1.8%","498","2.4%","0","0.0%"
"            30 percent or more","4,859","0.4%","4,106","0.5%","753","0.2%","N","N","N","N","N","N","103","0.1%","103","0.2%","0","0.0%","212","0.4%","212","0.6%","0","0.0%","182","0.3%","182","0.4%","0","0.0%","878","2.6%","783","3.4%","95","0.9%","0","0.0%","0","0.0%","0","0.0%","162","0.3%","0","0.0%","162","0.7%","1,647","1.1%","1,440","1.8%","207","0.3%","39","0.2%","39","0.2%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","88","0.3%","88","0.4%","0","0.0%"
"        Zero or negative income","55,201","4.3%","30,394","3.5%","24,807","6.1%","N","N","N","N","N","N","3,181","4.2%","1,708","3.2%","1,473","6.5%","2,381","4.6%","1,653","4.7%","728","4.4%","2,014","3.2%","917","2.0%","1,097","6.3%","536","1.6%","258","1.1%","278","2.6%","3,482","11.2%","276","1.9%","3,206","18.9%","4,012","7.1%","1,534","4.4%","2,478","11.4%","10,579","7.0%","2,779","3.4%","7,800","11.3%","761","3.1%","486","2.4%","275","6.4%","1,149","3.8%","850","3.9%","299","3.5%","894","3.3%","894","4.3%","0","0.0%"
"        No cash rent","141,551","11.1%","(X)","(X)","141,551","35.1%","N","N","(X)","(X)","N","N","5,102","6.7%","(X)","(X)","5,102","22.5%","4,568","8.9%","(X)","(X)","4,568","27.9%","4,599","7.2%","(X)","(X)","4,599","26.3%","3,879","11.3%","(X)","(X)","3,879","35.8%","4,415","14.2%","(X)","(X)","4,415","26.1%","6,656","11.7%","(X)","(X)","6,656","30.5%","12,201","8.1%","(X)","(X)","12,201","17.6%","1,361","5.6%","(X)","(X)","1,361","31.9%","3,020","10.0%","(X)","(X)","3,020","35.3%","2,578","9.4%","(X)","(X)","2,578","39.8%"
