"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $20,000 to $34,999","220,776","18.9%","179,937","22.4%","40,839","11.1%","6,762","21.1%","5,371","27.6%","1,391","11.0%","15,145","22.0%","11,760","24.8%","3,385","15.8%","8,862","18.6%","6,415","20.6%","2,447","14.8%","11,397","19.4%","9,385","23.3%","2,012","11.0%","4,597","13.9%","3,268","14.6%","1,329","12.3%","4,946","17.3%","4,231","28.0%","715","5.3%","8,625","16.3%","6,857","19.2%","1,768","10.3%","22,572","16.3%","15,666","20.3%","6,906","11.2%","N","N","N","N","N","N","5,967","21.1%","4,675","22.6%","1,292","17.1%","4,080","17.5%","2,963","18.2%","1,117","16.0%"
"            Less than 20 percent","121,556","10.4%","111,993","13.9%","9,563","2.6%","4,208","13.1%","3,714","19.1%","494","3.9%","5,688","8.2%","5,144","10.8%","544","2.5%","4,256","8.9%","3,822","12.3%","434","2.6%","4,706","8.0%","4,412","10.9%","294","1.6%","2,419","7.3%","2,020","9.0%","399","3.7%","2,864","10.0%","2,790","18.5%","74","0.5%","5,275","10.0%","4,936","13.8%","339","2.0%","8,670","6.2%","7,826","10.1%","844","1.4%","N","N","N","N","N","N","2,526","8.9%","2,399","11.6%","127","1.7%","2,110","9.1%","1,613","9.9%","497","7.1%"
"            20 to 29 percent","42,040","3.6%","25,158","3.1%","16,882","4.6%","1,066","3.3%","439","2.3%","627","5.0%","3,325","4.8%","2,100","4.4%","1,225","5.7%","1,873","3.9%","1,055","3.4%","818","4.9%","1,948","3.3%","1,387","3.4%","561","3.1%","937","2.8%","502","2.2%","435","4.0%","1,376","4.8%","825","5.5%","551","4.1%","1,287","2.4%","564","1.6%","723","4.2%","5,028","3.6%","1,933","2.5%","3,095","5.0%","N","N","N","N","N","N","1,395","4.9%","721","3.5%","674","8.9%","532","2.3%","303","1.9%","229","3.3%"
"            30 percent or more","57,180","4.9%","42,786","5.3%","14,394","3.9%","1,488","4.6%","1,218","6.3%","270","2.1%","6,132","8.9%","4,516","9.5%","1,616","7.5%","2,733","5.7%","1,538","4.9%","1,195","7.2%","4,743","8.1%","3,586","8.9%","1,157","6.3%","1,241","3.7%","746","3.3%","495","4.6%","706","2.5%","616","4.1%","90","0.7%","2,063","3.9%","1,357","3.8%","706","4.1%","8,874","6.4%","5,907","7.7%","2,967","4.8%","N","N","N","N","N","N","2,046","7.2%","1,555","7.5%","491","6.5%","1,438","6.2%","1,047","6.4%","391","5.6%"
"        $35,000 to $49,999","126,910","10.8%","105,640","13.1%","21,270","5.8%","3,536","11.0%","3,036","15.6%","500","4.0%","9,506","13.8%","8,026","16.9%","1,480","6.9%","5,377","11.3%","4,368","14.0%","1,009","6.1%","8,726","14.9%","6,182","15.3%","2,544","13.9%","3,953","11.9%","3,281","14.7%","672","6.2%","1,887","6.6%","1,437","9.5%","450","3.3%","5,040","9.5%","4,598","12.9%","442","2.6%","15,370","11.1%","11,040","14.3%","4,330","7.0%","N","N","N","N","N","N","3,268","11.6%","2,486","12.0%","782","10.3%","3,219","13.8%","2,721","16.7%","498","7.1%"
"            Less than 20 percent","77,663","6.6%","64,939","8.1%","12,724","3.5%","2,249","7.0%","1,822","9.4%","427","3.4%","4,982","7.2%","3,950","8.3%","1,032","4.8%","3,616","7.6%","2,792","9.0%","824","5.0%","3,204","5.5%","2,686","6.7%","518","2.8%","1,378","4.2%","1,229","5.5%","149","1.4%","1,644","5.7%","1,251","8.3%","393","2.9%","3,613","6.8%","3,501","9.8%","112","0.7%","8,800","6.3%","6,242","8.1%","2,558","4.1%","N","N","N","N","N","N","1,613","5.7%","1,112","5.4%","501","6.6%","1,713","7.4%","1,327","8.2%","386","5.5%"
"            20 to 29 percent","33,626","2.9%","26,570","3.3%","7,056","1.9%","1,000","3.1%","927","4.8%","73","0.6%","3,233","4.7%","2,880","6.1%","353","1.6%","1,314","2.8%","1,129","3.6%","185","1.1%","3,888","6.6%","2,153","5.3%","1,735","9.5%","1,049","3.2%","728","3.3%","321","3.0%","243","0.8%","186","1.2%","57","0.4%","1,210","2.3%","880","2.5%","330","1.9%","3,699","2.7%","2,564","3.3%","1,135","1.8%","N","N","N","N","N","N","1,154","4.1%","873","4.2%","281","3.7%","1,073","4.6%","961","5.9%","112","1.6%"
"            30 percent or more","15,621","1.3%","14,131","1.8%","1,490","0.4%","287","0.9%","287","1.5%","0","0.0%","1,291","1.9%","1,196","2.5%","95","0.4%","447","0.9%","447","1.4%","0","0.0%","1,634","2.8%","1,343","3.3%","291","1.6%","1,526","4.6%","1,324","5.9%","202","1.9%","0","0.0%","0","0.0%","0","0.0%","217","0.4%","217","0.6%","0","0.0%","2,871","2.1%","2,234","2.9%","637","1.0%","N","N","N","N","N","N","501","1.8%","501","2.4%","0","0.0%","433","1.9%","433","2.7%","0","0.0%"
"        $50,000 to $74,999","108,108","9.2%","95,041","11.8%","13,067","3.6%","2,842","8.9%","2,602","13.4%","240","1.9%","10,245","14.9%","8,799","18.5%","1,446","6.7%","5,411","11.4%","4,492","14.4%","919","5.5%","7,916","13.5%","6,563","16.3%","1,353","7.4%","3,890","11.7%","3,098","13.9%","792","7.4%","1,849","6.5%","1,485","9.8%","364","2.7%","3,492","6.6%","3,407","9.5%","85","0.5%","13,362","9.6%","10,028","13.0%","3,334","5.4%","N","N","N","N","N","N","3,380","11.9%","3,020","14.6%","360","4.8%","3,457","14.9%","2,613","16.1%","844","12.1%"
"            Less than 20 percent","82,964","7.1%","72,998","9.1%","9,966","2.7%","2,621","8.2%","2,381","12.2%","240","1.9%","7,952","11.5%","7,030","14.8%","922","4.3%","4,133","8.7%","3,351","10.8%","782","4.7%","5,242","8.9%","4,200","10.4%","1,042","5.7%","2,083","6.3%","1,479","6.6%","604","5.6%","1,693","5.9%","1,329","8.8%","364","2.7%","2,561","4.8%","2,516","7.0%","45","0.3%","9,393","6.8%","7,432","9.6%","1,961","3.2%","N","N","N","N","N","N","2,747","9.7%","2,450","11.8%","297","3.9%","2,130","9.2%","1,436","8.8%","694","9.9%"
"            20 to 29 percent","18,617","1.6%","16,151","2.0%","2,466","0.7%","221","0.7%","221","1.1%","0","0.0%","1,832","2.7%","1,456","3.1%","376","1.8%","642","1.3%","505","1.6%","137","0.8%","1,688","2.9%","1,377","3.4%","311","1.7%","1,168","3.5%","1,132","5.1%","36","0.3%","0","0.0%","0","0.0%","0","0.0%","721","1.4%","681","1.9%","40","0.2%","3,143","2.3%","1,962","2.5%","1,181","1.9%","N","N","N","N","N","N","288","1.0%","288","1.4%","0","0.0%","1,155","5.0%","1,005","6.2%","150","2.1%"
"            30 percent or more","6,527","0.6%","5,892","0.7%","635","0.2%","0","0.0%","0","0.0%","0","0.0%","461","0.7%","313","0.7%","148","0.7%","636","1.3%","636","2.0%","0","0.0%","986","1.7%","986","2.4%","0","0.0%","639","1.9%","487","2.2%","152","1.4%","156","0.5%","156","1.0%","0","0.0%","210","0.4%","210","0.6%","0","0.0%","826","0.6%","634","0.8%","192","0.3%","N","N","N","N","N","N","345","1.2%","282","1.4%","63","0.8%","172","0.7%","172","1.1%","0","0.0%"
"        $75,000 or more","104,503","8.9%","95,128","11.8%","9,375","2.6%","902","2.8%","902","4.6%","0","0.0%","6,347","9.2%","5,824","12.3%","523","2.4%","5,361","11.2%","4,911","15.8%","450","2.7%","6,364","10.9%","5,249","13.0%","1,115","6.1%","8,995","27.2%","7,941","35.5%","1,054","9.8%","1,908","6.7%","1,749","11.6%","159","1.2%","4,146","7.8%","3,909","10.9%","237","1.4%","21,353","15.4%","17,496","22.7%","3,857","6.3%","N","N","N","N","N","N","2,465","8.7%","2,197","10.6%","268","3.5%","4,052","17.4%","4,052","24.9%","0","0.0%"
"            Less than 20 percent","91,493","7.8%","83,786","10.4%","7,707","2.1%","810","2.5%","810","4.2%","0","0.0%","5,670","8.2%","5,175","10.9%","495","2.3%","4,364","9.2%","3,914","12.6%","450","2.7%","5,797","9.9%","4,847","12.0%","950","5.2%","7,251","21.9%","6,415","28.7%","836","7.8%","1,908","6.7%","1,749","11.6%","159","1.2%","4,030","7.6%","3,793","10.6%","237","1.4%","17,378","12.5%","14,382","18.6%","2,996","4.9%","N","N","N","N","N","N","2,255","8.0%","1,987","9.6%","268","3.5%","3,514","15.1%","3,514","21.6%","0","0.0%"
"            20 to 29 percent","10,208","0.9%","8,685","1.1%","1,523","0.4%","92","0.3%","92","0.5%","0","0.0%","638","0.9%","610","1.3%","28","0.1%","680","1.4%","680","2.2%","0","0.0%","493","0.8%","328","0.8%","165","0.9%","1,058","3.2%","911","4.1%","147","1.4%","0","0.0%","0","0.0%","0","0.0%","85","0.2%","85","0.2%","0","0.0%","3,168","2.3%","2,307","3.0%","861","1.4%","N","N","N","N","N","N","210","0.7%","210","1.0%","0","0.0%","395","1.7%","395","2.4%","0","0.0%"
"            30 percent or more","2,802","0.2%","2,657","0.3%","145","0.0%","0","0.0%","0","0.0%","0","0.0%","39","0.1%","39","0.1%","0","0.0%","317","0.7%","317","1.0%","0","0.0%","74","0.1%","74","0.2%","0","0.0%","686","2.1%","615","2.8%","71","0.7%","0","0.0%","0","0.0%","0","0.0%","31","0.1%","31","0.1%","0","0.0%","807","0.6%","807","1.0%","0","0.0%","N","N","N","N","N","N","0","0.0%","0","0.0%","0","0.0%","143","0.6%","143","0.9%","0","0.0%"
"        Zero or negative income","61,235","5.2%","31,790","4.0%","29,445","8.0%","1,804","5.6%","756","3.9%","1,048","8.3%","3,229","4.7%","1,664","3.5%","1,565","7.3%","1,319","2.8%","1,145","3.7%","174","1.0%","2,735","4.7%","1,615","4.0%","1,120","6.1%","432","1.3%","172","0.8%","260","2.4%","3,333","11.6%","633","4.2%","2,700","19.9%","6,300","11.9%","2,848","8.0%","3,452","20.1%","12,211","8.8%","2,673","3.5%","9,538","15.5%","N","N","N","N","N","N","883","3.1%","683","3.3%","200","2.6%","755","3.2%","72","0.4%","683","9.8%"
"        No cash rent","141,245","12.1%","(X)","(X)","141,245","38.4%","5,620","17.5%","(X)","(X)","5,620","44.5%","5,443","7.9%","(X)","(X)","5,443","25.3%","6,674","14.0%","(X)","(X)","6,674","40.3%","4,595","7.8%","(X)","(X)","4,595","25.1%","4,300","13.0%","(X)","(X)","4,300","39.9%","3,661","12.8%","(X)","(X)","3,661","27.0%","3,966","7.5%","(X)","(X)","3,966","23.1%","8,771","6.3%","(X)","(X)","8,771","14.2%","N","N","(X)","(X)","N","N","2,695","9.5%","(X)","(X)","2,695","35.6%","2,216","9.5%","(X)","(X)","2,216","31.7%"
