"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"    Population 1 year and over for whom poverty status is determined","3,159,748","2.7%","1.9%","0.7%","0.1%","N","N","N","N","N","175,827","2.9%","2.0%","0.5%","0.1%","123,756","5.0%","2.4%","0.7%","0.1%","149,940","2.5%","3.6%","0.8%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","326,691","3.5%","2.0%","0.6%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Below 100 percent of the poverty level","1,247,112","3.5%","2.0%","0.9%","0.1%","N","N","N","N","N","57,171","3.9%","2.0%","1.5%","0.0%","43,645","10.3%","3.9%","0.1%","0.0%","37,139","0.3%","6.7%","1.5%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","125,247","4.0%","1.9%","0.5%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        100 to 149 percent of the poverty level","525,102","2.8%","1.9%","0.5%","0.2%","N","N","N","N","N","27,102","3.6%","2.4%","0.0%","0.3%","18,449","3.5%","2.1%","1.5%","0.4%","24,919","6.5%","1.9%","1.1%","2.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","39,968","4.7%","2.0%","0.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        At or above 150 percent of the poverty level","1,387,534","1.9%","1.8%","0.7%","0.2%","N","N","N","N","N","91,554","2.0%","1.9%","0.1%","0.2%","61,662","1.8%","1.4%","0.9%","0.1%","87,882","2.2%","2.8%","0.4%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","161,476","2.9%","2.0%","0.8%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","3,150,027","2.6%","1.8%","0.7%","0.1%","N","N","N","N","N","175,010","2.9%","2.0%","0.5%","0.1%","123,264","5.0%","2.3%","0.7%","0.1%","149,890","2.4%","3.6%","0.8%","0.6%","86,582","4.1%","3.1%","1.2%","0.2%","67,846","4.6%","2.8%","0.6%","0.6%","N","N","N","N","N","323,988","3.6%","1.8%","0.6%","0.4%","N","N","N","N","N","71,044","3.6%","2.9%","0.5%","0.0%","N","N","N","N","N"
"        Householder lived in owner-occupied housing units","2,220,160","1.6%","1.0%","0.6%","0.1%","N","N","N","N","N","125,414","1.2%","1.0%","0.3%","0.2%","86,450","3.2%","1.0%","0.8%","0.2%","112,156","1.6%","2.2%","0.3%","0.7%","61,298","4.1%","1.9%","0.8%","0.0%","34,705","2.5%","1.9%","0.0%","0.0%","N","N","N","N","N","176,659","1.9%","1.1%","0.6%","0.3%","N","N","N","N","N","53,139","2.5%","1.4%","0.1%","0.0%","N","N","N","N","N"
"        Householder lived in renter-occupied housing units","929,867","5.2%","3.8%","1.1%","0.2%","N","N","N","N","N","49,596","7.1%","4.5%","1.1%","0.0%","36,814","9.1%","5.4%","0.4%","0.0%","37,734","5.1%","7.6%","2.2%","0.3%","25,284","4.0%","6.1%","2.3%","0.5%","33,141","6.8%","3.7%","1.2%","1.3%","N","N","N","N","N","147,329","5.6%","2.7%","0.6%","0.5%","N","N","N","N","N","17,905","6.9%","7.3%","1.6%","0.0%","N","N","N","N","N"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","3.3%","(X)","(X)","(X)","(X)","3.8%","(X)","(X)","(X)","(X)","3.0%","(X)","(X)","(X)","(X)","3.5%","(X)","(X)","(X)","(X)","5.0%","(X)","(X)","(X)","(X)","3.6%","(X)","(X)","(X)","(X)","3.9%","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)","3.7%","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","3.3%","(X)","(X)","(X)","(X)","3.3%","(X)","(X)","(X)","(X)"
