"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"        Median income (dollars)","14,301","14,090","15,407","11,704","8,223","14,565","16,530","11,043","14,677","-","15,999","13,747","15,380","7,834","24,279","15,740","13,913","16,539","14,409","-","17,506","18,517","19,029","7,642","-","20,782","29,324","17,622","-","-","11,592","4,200","6,611","8,949","-","13,720","15,267","9,572","-","-","15,721","15,406","9,292","16,384","4,331","16,655","18,910","12,256","-","-","16,793","18,677","9,740","9,434","12,554","16,737","13,720","15,158","25,341","-"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","3,219,730","3.2%","2.1%","0.8%","0.1%","N","N","N","N","N","176,603","3.0%","2.3%","0.9%","0.1%","125,689","3.6%","3.2%","1.5%","0.0%","150,386","6.2%","5.0%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","330,563","4.8%","2.2%","1.2%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Below 100 percent of the poverty level","1,300,558","4.7%","2.4%","0.9%","0.1%","N","N","N","N","N","63,068","4.6%","2.4%","1.5%","0.0%","46,347","5.2%","3.8%","2.9%","0.0%","41,598","9.1%","7.6%","1.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","131,697","6.9%","3.3%","1.3%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        100 to 149 percent of the poverty level","569,076","2.9%","1.4%","0.7%","0.0%","N","N","N","N","N","28,826","1.7%","1.3%","0.2%","0.0%","23,350","0.7%","3.0%","0.0%","0.1%","28,699","7.8%","1.9%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","44,069","4.9%","1.7%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        At or above 150 percent of the poverty level","1,350,096","2.0%","2.0%","0.9%","0.1%","N","N","N","N","N","84,709","2.3%","2.6%","0.7%","0.2%","55,992","3.6%","2.7%","1.0%","0.0%","80,089","4.1%","4.8%","1.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","154,797","3.0%","1.4%","1.2%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","3,213,110","3.2%","2.0%","0.8%","0.1%","84,676","2.1%","1.5%","1.4%","0.0%","176,011","3.0%","2.3%","0.9%","0.1%","125,413","3.6%","3.3%","1.5%","0.0%","151,441","6.1%","5.0%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","328,340","4.8%","2.2%","1.2%","0.3%","N","N","N","N","N","73,398","2.3%","1.5%","0.6%","0.4%","N","N","N","N","N"
"        Householder lived in owner-occupied housing units","2,259,536","1.5%","1.2%","0.6%","0.1%","51,300","1.0%","0.3%","0.3%","0.0%","122,514","1.8%","1.7%","0.4%","0.2%","86,393","2.9%","1.5%","0.8%","0.0%","105,426","3.5%","2.4%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","181,278","2.0%","1.0%","1.0%","0.2%","N","N","N","N","N","54,940","1.4%","1.4%","0.8%","0.2%","N","N","N","N","N"
"        Householder lived in renter-occupied housing units","953,574","7.3%","4.0%","1.3%","0.1%","33,376","3.8%","3.2%","3.0%","0.0%","53,497","5.6%","3.6%","2.2%","0.0%","39,020","5.3%","7.2%","3.2%","0.0%","46,015","12.1%","10.9%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","147,062","8.3%","3.7%","1.4%","0.3%","N","N","N","N","N","18,458","4.9%","1.9%","0.0%","0.8%","N","N","N","N","N"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","3.3%","(X)","(X)","(X)","(X)","4.0%","(X)","(X)","(X)","(X)","3.2%","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)","3.4%","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","6.0%","(X)","(X)","(X)","(X)","3.3%","(X)","(X)","(X)","(X)","4.5%","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)","3.8%","(X)","(X)","(X)","(X)","4.5%","(X)","(X)","(X)","(X)"
